wavelength;0.00 sec;10.00 sec;20.00 sec;30.00 sec;40.00 sec;50.00 sec;60.00 sec;70.00 sec;80.00 sec;90.00 sec;100.00 sec;110.00 sec;120.00 sec;130.00 sec;140.00 sec;150.00 sec;160.00 sec;170.00 sec;180.00 sec;190.00 sec;200.00 sec;210.00 sec;220.00 sec;230.00 sec;240.00 sec;250.00 sec;260.00 sec;270.00 sec;280.00 sec;290.00 sec;300.00 sec;310.00 sec;320.00 sec;330.00 sec;340.00 sec;350.00 sec;360.00 sec;370.00 sec;380.00 sec;390.00 sec;400.00 sec;410.00 sec;420.00 sec;430.00 sec;440.00 sec;450.00 sec;460.00 sec;470.00 sec;480.00 sec;490.00 sec;500.00 sec;510.00 sec;520.00 sec;530.00 sec;540.00 sec;550.00 sec;560.00 sec;570.00 sec;580.00 sec;590.00 sec;600.00 sec
300.000000;0.339194;0.338987;0.337713;0.337521;0.336539;0.333982;0.331955;0.329011;0.327272;0.324131;0.321549;0.319060;0.316448;0.313482;0.310572;0.308064;0.305302;0.302594;0.299311;0.296552;0.293305;0.289811;0.286967;0.283841;0.280210;0.277302;0.274313;0.270788;0.267898;0.264171;0.261552;0.258350;0.255453;0.251639;0.248837;0.245591;0.242683;0.239443;0.236151;0.233943;0.230616;0.228106;0.225527;0.222429;0.219133;0.216425;0.213645;0.211071;0.208249;0.205605;0.203486;0.200249;0.198961;0.195942;0.193340;0.191233;0.189307;0.186755;0.184672;0.182071;0.179997
300.500000;0.344162;0.342983;0.341979;0.341360;0.340342;0.337798;0.336061;0.333167;0.331204;0.328580;0.325866;0.323021;0.320488;0.317277;0.314786;0.311685;0.309200;0.306475;0.302852;0.300343;0.296878;0.293618;0.290840;0.287774;0.284122;0.281173;0.277685;0.274107;0.271577;0.267760;0.265263;0.261754;0.258632;0.255294;0.252165;0.248991;0.245608;0.243085;0.239490;0.237114;0.234101;0.231346;0.228677;0.225277;0.222286;0.219862;0.216758;0.214235;0.211284;0.208676;0.206295;0.203464;0.201835;0.198900;0.196289;0.194454;0.192068;0.189514;0.187202;0.184879;0.183162
301.000000;0.349088;0.346861;0.346283;0.345191;0.344194;0.341520;0.340021;0.337325;0.334925;0.332865;0.329904;0.327016;0.324530;0.320953;0.318783;0.315441;0.313112;0.310153;0.306558;0.303853;0.300571;0.297385;0.294711;0.291479;0.288024;0.285051;0.281161;0.277795;0.274942;0.271350;0.268748;0.265066;0.261824;0.258790;0.255430;0.252306;0.248620;0.246435;0.243121;0.240133;0.237350;0.234288;0.231451;0.228238;0.225400;0.223069;0.219775;0.217291;0.214324;0.211814;0.209115;0.206854;0.204316;0.201826;0.199047;0.197499;0.194568;0.192220;0.189905;0.187608;0.186220
301.500000;0.352991;0.351018;0.350497;0.349370;0.348429;0.345280;0.343696;0.340949;0.338901;0.336227;0.332966;0.331178;0.328503;0.324639;0.322037;0.319731;0.316756;0.313790;0.310594;0.307059;0.304784;0.300893;0.298339;0.294904;0.291337;0.288579;0.284957;0.281661;0.278045;0.274785;0.271796;0.268341;0.265627;0.261761;0.258504;0.255348;0.252284;0.248985;0.246544;0.243022;0.240019;0.237053;0.234205;0.231666;0.228213;0.225685;0.222412;0.220174;0.217296;0.214829;0.212191;0.209665;0.206886;0.204581;0.201472;0.199929;0.197159;0.194722;0.193171;0.190182;0.188495
302.000000;0.356406;0.355051;0.354168;0.353317;0.352293;0.349228;0.347337;0.344580;0.342973;0.339948;0.336552;0.334915;0.332136;0.328627;0.325504;0.323494;0.320299;0.317598;0.314525;0.311063;0.308519;0.304409;0.301945;0.298110;0.294654;0.291980;0.288586;0.285024;0.281494;0.278206;0.274921;0.271875;0.269321;0.264889;0.261444;0.258441;0.255855;0.251846;0.249547;0.246237;0.242741;0.240037;0.236950;0.234891;0.231331;0.228509;0.225287;0.223264;0.220071;0.217494;0.214941;0.212403;0.209959;0.207366;0.204416;0.202377;0.199958;0.197573;0.196308;0.193014;0.190863
302.500000;0.359902;0.358839;0.357446;0.356885;0.355640;0.353288;0.351074;0.348510;0.346806;0.344329;0.341067;0.338138;0.335490;0.332906;0.329587;0.326546;0.323946;0.321410;0.318097;0.315775;0.311527;0.308012;0.305520;0.301374;0.298240;0.295301;0.291823;0.287806;0.285337;0.281651;0.278352;0.275474;0.272431;0.268406;0.264507;0.261726;0.258900;0.255465;0.252356;0.249765;0.245906;0.243306;0.239813;0.237647;0.234800;0.231804;0.228643;0.226519;0.222690;0.220015;0.217338;0.215369;0.213316;0.210274;0.207917;0.205178;0.202899;0.200727;0.198896;0.196126;0.193743
303.000000;0.363623;0.362867;0.361368;0.360780;0.359456;0.357113;0.354774;0.352379;0.350080;0.347797;0.344830;0.341657;0.339119;0.337001;0.333503;0.330288;0.327792;0.324594;0.321522;0.319242;0.314974;0.311408;0.308650;0.305176;0.301600;0.298224;0.295040;0.290904;0.288716;0.284954;0.281718;0.278309;0.275266;0.271651;0.268115;0.264971;0.261844;0.258916;0.255653;0.252872;0.249277;0.246413;0.243150;0.240521;0.237699;0.234794;0.231938;0.229247;0.225457;0.223153;0.220309;0.218228;0.215977;0.213167;0.210697;0.207966;0.205767;0.203205;0.201259;0.198889;0.196493
303.500000;0.367393;0.366798;0.365695;0.364672;0.363614;0.360809;0.358491;0.356012;0.353148;0.350692;0.347957;0.345443;0.342856;0.340474;0.337090;0.334335;0.331408;0.327436;0.324965;0.321902;0.318662;0.314697;0.311660;0.309054;0.304794;0.301147;0.298354;0.294522;0.291558;0.288129;0.284839;0.280951;0.278139;0.274644;0.271743;0.268153;0.264945;0.261976;0.258908;0.255596;0.252580;0.249376;0.246635;0.243538;0.240262;0.237529;0.234797;0.231688;0.228424;0.226649;0.223557;0.220939;0.218329;0.216041;0.213121;0.210760;0.208574;0.205425;0.203820;0.201345;0.199119
304.000000;0.370921;0.370018;0.369528;0.367823;0.367327;0.364613;0.362304;0.359441;0.356616;0.354254;0.351528;0.348995;0.346216;0.343166;0.340566;0.337464;0.334318;0.330674;0.328461;0.325341;0.321752;0.318127;0.315118;0.312230;0.308185;0.304672;0.301665;0.298289;0.294325;0.291276;0.287780;0.284454;0.281236;0.277764;0.274606;0.271338;0.268235;0.264902;0.261255;0.258423;0.255590;0.252437;0.249685;0.246403;0.243261;0.240499;0.237168;0.234539;0.231464;0.229717;0.226249;0.223685;0.221307;0.218959;0.216226;0.213731;0.211443;0.208382;0.206879;0.203916;0.201967
304.500000;0.374276;0.373213;0.372931;0.370859;0.370389;0.367984;0.365803;0.362930;0.360325;0.357798;0.355235;0.352342;0.349485;0.345921;0.343777;0.340273;0.337298;0.334342;0.331710;0.328927;0.324801;0.321389;0.318524;0.315278;0.311704;0.308224;0.304764;0.301501;0.297400;0.294296;0.290992;0.287862;0.284360;0.280831;0.277533;0.274314;0.271421;0.267745;0.263898;0.261491;0.258259;0.255370;0.252571;0.249245;0.246345;0.243558;0.239782;0.237719;0.234427;0.232310;0.228890;0.226649;0.224245;0.221872;0.219048;0.216484;0.214304;0.211475;0.210110;0.206631;0.204814
305.000000;0.377649;0.376793;0.376074;0.374325;0.373142;0.370762;0.368809;0.366457;0.363886;0.360794;0.358659;0.355651;0.352871;0.349299;0.346756;0.343461;0.340854;0.338120;0.334640;0.331955;0.328164;0.324243;0.321474;0.318606;0.315119;0.311373;0.307628;0.304071;0.300775;0.297196;0.294526;0.290555;0.287364;0.283719;0.280933;0.277082;0.274297;0.270500;0.267436;0.264623;0.260807;0.258076;0.255494;0.252227;0.249235;0.246493;0.242937;0.240908;0.237253;0.234710;0.231907;0.229717;0.226751;0.224650;0.221129;0.218895;0.217056;0.214205;0.213045;0.209421;0.207495
305.500000;0.381246;0.380059;0.378843;0.377914;0.376532;0.373797;0.371776;0.369411;0.366919;0.363912;0.361867;0.359024;0.356059;0.352848;0.350014;0.346957;0.344382;0.341433;0.337714;0.334688;0.331159;0.326873;0.324268;0.321668;0.318126;0.314523;0.310603;0.307096;0.303818;0.300241;0.297551;0.293451;0.290368;0.286662;0.283725;0.280115;0.276977;0.273179;0.270428;0.267315;0.263806;0.260879;0.258121;0.255348;0.252296;0.249289;0.245817;0.243759;0.240034;0.237380;0.234928;0.232275;0.229658;0.227098;0.223818;0.221562;0.219640;0.217028;0.215331;0.212244;0.210220
306.000000;0.384643;0.382698;0.381388;0.380913;0.380124;0.376849;0.374479;0.371788;0.369429;0.366872;0.364604;0.361969;0.358712;0.355916;0.353185;0.350129;0.347228;0.343957;0.340611;0.337158;0.333633;0.329589;0.326855;0.324174;0.320555;0.317417;0.313578;0.310145;0.306426;0.303173;0.299843;0.296405;0.293201;0.289609;0.285960;0.283056;0.279543;0.275841;0.272654;0.269744;0.266934;0.263619;0.260475;0.258183;0.255128;0.251749;0.248223;0.246087;0.242615;0.240174;0.237539;0.234413;0.232616;0.229433;0.226980;0.224301;0.222076;0.219797;0.217400;0.214975;0.212843
306.500000;0.387082;0.384891;0.383986;0.382694;0.382613;0.378996;0.376374;0.374085;0.371697;0.368841;0.366521;0.363811;0.360671;0.358008;0.355408;0.352207;0.349042;0.345753;0.342641;0.339221;0.335927;0.332620;0.328977;0.326208;0.322468;0.319419;0.316123;0.311900;0.308904;0.305465;0.301763;0.298535;0.295531;0.292262;0.288511;0.285119;0.282016;0.278525;0.274926;0.272463;0.269321;0.265859;0.262832;0.260202;0.256966;0.253658;0.250513;0.247955;0.244744;0.242571;0.239531;0.236728;0.234560;0.232065;0.229392;0.226464;0.224426;0.221980;0.220050;0.217457;0.215043
307.000000;0.388812;0.387257;0.386286;0.384537;0.384393;0.380972;0.378522;0.376518;0.373739;0.370810;0.368463;0.365521;0.362588;0.359938;0.357306;0.353857;0.350862;0.347744;0.344880;0.341290;0.338231;0.335289;0.331202;0.328320;0.324559;0.321165;0.318234;0.313611;0.311109;0.307579;0.303751;0.300443;0.297564;0.294404;0.290969;0.287119;0.284366;0.280898;0.277259;0.274855;0.271248;0.268001;0.265031;0.262104;0.258795;0.255631;0.252830;0.250068;0.246820;0.244755;0.241618;0.239217;0.236384;0.234569;0.231377;0.228733;0.226650;0.224079;0.222644;0.219711;0.217312
307.500000;0.390386;0.389935;0.388062;0.387325;0.386129;0.383416;0.381487;0.378951;0.375581;0.373516;0.370983;0.367914;0.364901;0.362339;0.359487;0.355849;0.353422;0.350427;0.347953;0.343674;0.340544;0.337098;0.333848;0.330761;0.327193;0.323282;0.320056;0.316380;0.312975;0.309916;0.306080;0.302780;0.299557;0.296096;0.292871;0.289722;0.286481;0.282804;0.279519;0.276537;0.273219;0.270384;0.267022;0.264468;0.261367;0.258114;0.255172;0.252734;0.249190;0.246954;0.244238;0.241674;0.238953;0.236598;0.233531;0.231548;0.228747;0.226484;0.224590;0.221837;0.219953
308.000000;0.392218;0.391708;0.389882;0.389556;0.387712;0.385451;0.383487;0.380724;0.377503;0.375695;0.373066;0.370140;0.366932;0.364414;0.361346;0.358050;0.355706;0.352693;0.350080;0.346020;0.342589;0.338683;0.336055;0.332784;0.329505;0.325347;0.321745;0.318936;0.314977;0.311959;0.308586;0.305119;0.301456;0.297951;0.294685;0.291988;0.288144;0.284790;0.281900;0.278609;0.275313;0.272557;0.269352;0.266636;0.263540;0.260524;0.257428;0.254891;0.251585;0.248944;0.246503;0.243955;0.241489;0.238663;0.235804;0.233755;0.230892;0.228530;0.226581;0.223992;0.222221
308.500000;0.394267;0.392810;0.391814;0.390869;0.389288;0.387013;0.384498;0.381955;0.379597;0.377078;0.374455;0.371846;0.368646;0.366012;0.362789;0.360170;0.357489;0.354226;0.351042;0.348068;0.344342;0.340411;0.337743;0.334467;0.331193;0.327165;0.323534;0.320785;0.317190;0.313661;0.310822;0.307137;0.303409;0.300162;0.296748;0.293785;0.289805;0.287042;0.284200;0.281205;0.277566;0.274548;0.271938;0.268536;0.265117;0.262702;0.259614;0.256503;0.253906;0.250937;0.248380;0.246118;0.243695;0.241006;0.238116;0.235397;0.233232;0.230424;0.228866;0.226293;0.224025
309.000000;0.396083;0.394791;0.393373;0.392230;0.391226;0.388884;0.386275;0.383465;0.381671;0.378551;0.375802;0.373376;0.370637;0.367718;0.364329;0.361920;0.359429;0.355670;0.352320;0.349738;0.346008;0.342185;0.339649;0.336637;0.332655;0.328890;0.325634;0.322474;0.319222;0.315491;0.312269;0.308780;0.305694;0.302405;0.299048;0.295854;0.292342;0.289258;0.285896;0.283367;0.279956;0.276856;0.274050;0.270738;0.267012;0.264971;0.261839;0.258601;0.256257;0.253463;0.250693;0.248350;0.245920;0.243439;0.240405;0.237708;0.235783;0.233141;0.231090;0.228748;0.226002
309.500000;0.397497;0.396663;0.394539;0.393341;0.392866;0.390417;0.388094;0.384937;0.383129;0.380014;0.377154;0.374818;0.372223;0.369237;0.365927;0.363292;0.360893;0.357089;0.353698;0.350888;0.347369;0.343761;0.341372;0.338433;0.333978;0.330475;0.327586;0.323820;0.320845;0.317307;0.313592;0.310072;0.307640;0.304274;0.301008;0.297667;0.294702;0.291018;0.287449;0.284911;0.281946;0.279027;0.275613;0.272891;0.269239;0.266938;0.263825;0.260943;0.258297;0.255675;0.252834;0.250329;0.247944;0.245511;0.242302;0.240117;0.238029;0.235739;0.233105;0.230976;0.228164
310.000000;0.398570;0.397161;0.395538;0.393866;0.393612;0.390923;0.388821;0.385919;0.383752;0.381119;0.378381;0.376092;0.372799;0.370184;0.367347;0.364450;0.361360;0.358374;0.354642;0.351655;0.348289;0.345047;0.342405;0.339067;0.335250;0.331933;0.328968;0.324715;0.322118;0.318861;0.315477;0.311236;0.308739;0.305615;0.302244;0.298698;0.295813;0.292198;0.289407;0.286177;0.283184;0.280566;0.276968;0.274510;0.271406;0.268272;0.265382;0.262957;0.259782;0.256858;0.254159;0.251837;0.249587;0.247021;0.243692;0.241774;0.239602;0.237205;0.234932;0.232712;0.230334
310.500000;0.399613;0.397624;0.396658;0.395056;0.394407;0.391511;0.389478;0.387072;0.384902;0.382146;0.379667;0.377006;0.373686;0.371101;0.368512;0.365668;0.362355;0.359720;0.355989;0.353051;0.349427;0.346559;0.343440;0.340178;0.336979;0.333706;0.330332;0.326240;0.323680;0.320428;0.317106;0.312947;0.310179;0.307072;0.303626;0.300111;0.297120;0.293631;0.291252;0.287915;0.284515;0.282128;0.278740;0.275960;0.273156;0.269760;0.267058;0.264818;0.261326;0.258501;0.255863;0.253621;0.251549;0.248783;0.245577;0.243448;0.241248;0.238888;0.236765;0.234515;0.232640
311.000000;0.400740;0.398881;0.397885;0.397041;0.395685;0.392636;0.390623;0.388569;0.386731;0.383342;0.380981;0.377774;0.375358;0.372390;0.369589;0.366939;0.364248;0.361129;0.357846;0.355166;0.351041;0.348262;0.344878;0.342192;0.338953;0.335606;0.331929;0.328530;0.325551;0.322062;0.318310;0.315177;0.312268;0.308851;0.305510;0.302253;0.299181;0.295522;0.292779;0.290082;0.286374;0.283972;0.280895;0.277581;0.274618;0.271818;0.269054;0.266662;0.263268;0.260973;0.258346;0.255855;0.253838;0.250984;0.248149;0.245600;0.243345;0.241311;0.238806;0.236637;0.234935
311.500000;0.401779;0.400487;0.398865;0.398305;0.396901;0.393585;0.391766;0.389776;0.387679;0.384745;0.382009;0.379054;0.376839;0.374022;0.370956;0.367944;0.365608;0.362341;0.359199;0.356807;0.352712;0.349400;0.346477;0.343604;0.340107;0.336696;0.333442;0.330351;0.326929;0.323449;0.319985;0.316997;0.313921;0.310473;0.307347;0.304132;0.300944;0.297142;0.294405;0.291673;0.288415;0.285639;0.282615;0.279468;0.276457;0.274111;0.270996;0.268432;0.265398;0.262866;0.260644;0.257845;0.255516;0.252873;0.250403;0.247915;0.245565;0.243485;0.241191;0.238778;0.236743
312.000000;0.402746;0.401650;0.399702;0.398777;0.397693;0.394360;0.392735;0.390631;0.388055;0.386040;0.383048;0.380453;0.377779;0.375467;0.372330;0.369000;0.366425;0.363475;0.360211;0.357687;0.354084;0.350331;0.347984;0.344631;0.340928;0.337631;0.334897;0.331613;0.327936;0.324595;0.321750;0.318374;0.315077;0.311835;0.308964;0.305579;0.302406;0.298523;0.296180;0.292944;0.290323;0.287105;0.284165;0.281471;0.278468;0.276104;0.272843;0.270316;0.267461;0.264335;0.262529;0.259630;0.257011;0.254645;0.252219;0.250018;0.247643;0.245256;0.243435;0.240821;0.238449
312.500000;0.403718;0.401887;0.400669;0.399229;0.398102;0.395330;0.393627;0.391405;0.388972;0.386901;0.384458;0.381299;0.378406;0.376262;0.373300;0.370558;0.367455;0.364727;0.361543;0.358229;0.355059;0.351770;0.349259;0.346167;0.342456;0.339487;0.336473;0.332862;0.329152;0.325732;0.322886;0.319778;0.316280;0.313142;0.310456;0.306966;0.304047;0.300121;0.297963;0.294661;0.291950;0.288628;0.286198;0.283350;0.280153;0.277493;0.274726;0.272470;0.269298;0.266255;0.264273;0.261569;0.259177;0.256810;0.254011;0.251719;0.249476;0.247030;0.245045;0.242779;0.240684
313.000000;0.404579;0.402494;0.401650;0.400278;0.399153;0.396534;0.394713;0.392248;0.390301;0.387710;0.385480;0.382233;0.379602;0.377253;0.374461;0.372134;0.369020;0.365701;0.362995;0.359386;0.356298;0.353301;0.350539;0.347630;0.344303;0.341376;0.338131;0.334361;0.330765;0.327203;0.324359;0.321482;0.317925;0.314836;0.311999;0.308740;0.305672;0.302201;0.299803;0.296620;0.293587;0.290500;0.288345;0.285022;0.281915;0.279237;0.276633;0.274377;0.271150;0.268544;0.266250;0.263520;0.261344;0.258870;0.256106;0.253583;0.251367;0.249309;0.246863;0.244684;0.243074
