wavelength;0.00 sec;10.00 sec;20.00 sec;30.00 sec;40.00 sec;50.00 sec;60.00 sec;70.00 sec;80.00 sec;90.00 sec;100.00 sec;110.00 sec;120.00 sec;130.00 sec;140.00 sec;150.00 sec;160.00 sec;170.00 sec;180.00 sec;190.00 sec;200.00 sec;210.00 sec;220.00 sec;230.00 sec;240.00 sec;250.00 sec;260.00 sec;270.00 sec;280.00 sec;290.00 sec;300.00 sec;310.00 sec;320.00 sec;330.00 sec;340.00 sec;350.00 sec;360.00 sec;370.00 sec;380.00 sec;390.00 sec;400.00 sec;410.00 sec;420.00 sec;430.00 sec;440.00 sec;450.00 sec;460.00 sec;470.00 sec;480.00 sec;490.00 sec;500.00 sec;510.00 sec;520.00 sec;530.00 sec;540.00 sec;550.00 sec;560.00 sec;570.00 sec;580.00 sec;590.00 sec;600.00 sec
393.000000;0.023564;0.023710;0.023506;0.023664;0.023749;0.023625;0.024176;0.023452;0.023685;0.023375;0.023815;0.024014;0.023799;0.023318;0.024126;0.024382;0.024416;0.023879;0.023743;0.024417;0.024432;0.023891;0.023819;0.024773;0.024742;0.024347;0.024383;0.024166;0.024596;0.024772;0.024719;0.025010;0.024711;0.024983;0.024909;0.025115;0.024868;0.025248;0.025043;0.025549;0.024942;0.024948;0.025016;0.025168;0.025560;0.025192;0.025029;0.025490;0.025600;0.025871;0.025840;0.026029;0.026194;0.025833;0.025227;0.025840;0.025096;0.025466;0.026029;0.026123;0.025765
393.500000;0.022141;0.022636;0.022513;0.022328;0.022260;0.022312;0.022821;0.021920;0.022772;0.022260;0.022763;0.022906;0.022694;0.022352;0.022927;0.022982;0.022980;0.022735;0.022807;0.023195;0.022800;0.022486;0.022801;0.023585;0.023512;0.022888;0.023373;0.022986;0.023449;0.023716;0.023530;0.023560;0.023530;0.023402;0.023573;0.023602;0.023675;0.023811;0.023865;0.023879;0.023831;0.023893;0.023991;0.023877;0.024387;0.024181;0.023688;0.024451;0.024051;0.024457;0.024607;0.024324;0.024370;0.024802;0.023986;0.024287;0.024325;0.024494;0.024679;0.024842;0.024211
394.000000;0.021358;0.021810;0.021994;0.021312;0.021326;0.021439;0.021851;0.021067;0.022191;0.021852;0.022096;0.022211;0.022111;0.022028;0.021875;0.022185;0.021872;0.022192;0.022315;0.022113;0.021711;0.021599;0.022233;0.022732;0.022567;0.021883;0.022918;0.022416;0.022721;0.022632;0.022726;0.022413;0.022556;0.022491;0.023011;0.022549;0.023070;0.022762;0.023244;0.022834;0.023291;0.023268;0.023485;0.022963;0.023616;0.023500;0.023076;0.023543;0.023008;0.023310;0.023542;0.022737;0.023062;0.024009;0.023303;0.023030;0.024149;0.023867;0.023616;0.023761;0.023330
394.500000;0.021086;0.021762;0.021721;0.020853;0.021141;0.021039;0.021361;0.021056;0.021640;0.021645;0.021508;0.021523;0.021852;0.021663;0.021392;0.021734;0.021330;0.021670;0.021775;0.021583;0.021621;0.021521;0.021992;0.022549;0.022087;0.021516;0.022499;0.022320;0.022100;0.021650;0.022317;0.022019;0.021752;0.022298;0.022764;0.022412;0.022841;0.022779;0.022907;0.023132;0.023293;0.022734;0.023022;0.022648;0.022926;0.022872;0.023036;0.022645;0.023184;0.022864;0.022814;0.022663;0.023378;0.023450;0.022994;0.023238;0.023433;0.023348;0.023212;0.023324;0.023077
395.000000;0.020962;0.021775;0.021465;0.020758;0.021019;0.020937;0.021124;0.020971;0.021232;0.021480;0.021337;0.021302;0.021772;0.021358;0.021481;0.021862;0.021309;0.021680;0.021353;0.021329;0.021727;0.021531;0.021652;0.022330;0.022095;0.021482;0.022339;0.022352;0.021927;0.021653;0.022071;0.022160;0.021375;0.022303;0.022587;0.022160;0.022675;0.022797;0.022796;0.023029;0.022961;0.022356;0.022674;0.022837;0.022672;0.022789;0.023092;0.022277;0.023176;0.022948;0.022703;0.023028;0.023712;0.023186;0.022938;0.023324;0.022725;0.023113;0.022918;0.023499;0.022834
395.500000;0.020514;0.021233;0.020889;0.020533;0.020455;0.020692;0.020789;0.020301;0.020876;0.021111;0.021365;0.021295;0.021444;0.021007;0.021590;0.022065;0.021331;0.021848;0.020968;0.020903;0.021322;0.020996;0.020898;0.021611;0.022112;0.021320;0.022193;0.022075;0.021929;0.022156;0.021647;0.022082;0.021253;0.021945;0.022167;0.021224;0.022193;0.022114;0.022553;0.021795;0.022000;0.022040;0.022243;0.022865;0.022670;0.023017;0.022737;0.022304;0.022232;0.022941;0.022722;0.022674;0.023019;0.022964;0.022713;0.022421;0.022240;0.022908;0.022246;0.023664;0.022221
396.000000;0.019340;0.020175;0.019631;0.019570;0.019549;0.019711;0.020037;0.019500;0.020153;0.020175;0.020541;0.020196;0.020200;0.020066;0.020720;0.020917;0.020577;0.020521;0.020098;0.019962;0.020360;0.019838;0.019757;0.020644;0.021193;0.020625;0.021129;0.021114;0.020958;0.020895;0.020730;0.020760;0.020651;0.020915;0.021145;0.020196;0.021075;0.021153;0.021483;0.020853;0.021164;0.021416;0.021118;0.021632;0.021926;0.022235;0.021664;0.021627;0.021210;0.021994;0.021535;0.021340;0.021987;0.022183;0.021635;0.021557;0.021293;0.021896;0.021188;0.022733;0.021422
396.500000;0.018366;0.019436;0.018617;0.018615;0.018868;0.018548;0.019307;0.019156;0.019562;0.019275;0.019332;0.018895;0.019023;0.018988;0.019522;0.019524;0.019619;0.019022;0.019308;0.019280;0.019656;0.018673;0.019157;0.019937;0.020027;0.019905;0.020127;0.020059;0.019711;0.019273;0.020002;0.019432;0.020001;0.019870;0.020220;0.019786;0.019964;0.020440;0.020246;0.020668;0.020759;0.020820;0.020061;0.020313;0.020943;0.020841;0.020628;0.020690;0.020728;0.020977;0.020283;0.020285;0.021294;0.021258;0.020598;0.021234;0.020538;0.020656;0.020572;0.021477;0.020852
397.000000;0.018706;0.019777;0.018974;0.018726;0.018936;0.018203;0.019221;0.019556;0.019762;0.019214;0.018870;0.018981;0.019231;0.018606;0.019290;0.019720;0.019490;0.019482;0.019414;0.019750;0.020006;0.018296;0.019926;0.019877;0.019806;0.019856;0.020562;0.019772;0.019554;0.019825;0.020264;0.019843;0.020090;0.019696;0.020293;0.020332;0.019750;0.020306;0.019960;0.020908;0.020727;0.020785;0.020205;0.020662;0.020812;0.020066;0.020560;0.020531;0.020955;0.021145;0.020775;0.020844;0.021276;0.020962;0.020819;0.021380;0.020921;0.020333;0.021146;0.021281;0.020864
397.500000;0.019010;0.019837;0.019470;0.018858;0.019030;0.018524;0.019243;0.019600;0.019757;0.019210;0.019015;0.019295;0.019443;0.018651;0.019716;0.019970;0.019572;0.019870;0.019500;0.020053;0.020165;0.018515;0.020426;0.019822;0.019638;0.019705;0.020628;0.019789;0.019844;0.020446;0.020380;0.020249;0.020152;0.019813;0.020476;0.020604;0.019892;0.020173;0.020128;0.020721;0.020748;0.020834;0.020689;0.021197;0.021157;0.019986;0.020509;0.020592;0.021061;0.021108;0.021334;0.021150;0.021198;0.020919;0.020909;0.021202;0.021147;0.020701;0.021415;0.021360;0.021052
398.000000;0.018369;0.018868;0.019061;0.018238;0.018547;0.018713;0.018850;0.018653;0.018944;0.018650;0.019020;0.018810;0.018686;0.018559;0.019790;0.019243;0.019209;0.018858;0.018906;0.019323;0.019399;0.018716;0.019653;0.019278;0.018840;0.018999;0.019397;0.019452;0.019705;0.019616;0.019567;0.019481;0.019548;0.019535;0.020053;0.019881;0.019646;0.019574;0.019960;0.019748;0.020412;0.020325;0.020431;0.020593;0.021069;0.019974;0.019812;0.020146;0.020441;0.020080;0.020656;0.020141;0.020546;0.020572;0.020011;0.020358;0.020358;0.020869;0.020582;0.020875;0.020814
398.500000;0.017392;0.017739;0.017894;0.017253;0.017529;0.017642;0.017992;0.017258;0.017873;0.017759;0.017897;0.017731;0.017573;0.017831;0.018280;0.018423;0.018330;0.017615;0.017979;0.018146;0.018430;0.018145;0.018406;0.018357;0.017799;0.018238;0.018270;0.018394;0.018742;0.018350;0.018273;0.018459;0.018427;0.018612;0.019217;0.018728;0.018601;0.018564;0.018920;0.018519;0.019332;0.018840;0.018887;0.019026;0.019590;0.018975;0.018906;0.018886;0.019215;0.019059;0.019287;0.019014;0.019528;0.019591;0.018944;0.019373;0.019140;0.019671;0.019612;0.019742;0.019632
399.000000;0.016529;0.016800;0.016683;0.016243;0.016419;0.016155;0.016979;0.016117;0.016944;0.016911;0.016449;0.016651;0.016727;0.016856;0.016342;0.017686;0.017221;0.016733;0.017091;0.017039;0.017649;0.017126;0.017249;0.017417;0.016966;0.017480;0.017616;0.017185;0.017513;0.017356;0.017206;0.017623;0.017412;0.017483;0.018143;0.017521;0.017336;0.017619;0.017494;0.017587;0.017938;0.017196;0.017135;0.017513;0.017814;0.017657;0.018068;0.017486;0.017930;0.018385;0.018124;0.018076;0.018570;0.018429;0.018123;0.018458;0.018097;0.017885;0.018727;0.018410;0.018143
399.500000;0.015966;0.016015;0.016159;0.015430;0.015722;0.015814;0.016195;0.015749;0.016322;0.016403;0.016121;0.016131;0.016496;0.016339;0.015979;0.016777;0.016303;0.016235;0.016484;0.016294;0.017083;0.016442;0.016422;0.016797;0.016638;0.016541;0.017089;0.016692;0.016881;0.016875;0.016912;0.016954;0.017110;0.016791;0.016968;0.016447;0.016752;0.017250;0.016586;0.017285;0.016974;0.016574;0.016724;0.017098;0.017501;0.017352;0.017366;0.016897;0.017190;0.017887;0.017847;0.017085;0.018055;0.017794;0.017561;0.017597;0.017602;0.017079;0.017680;0.017466;0.017386
400.000000;0.015608;0.015554;0.015818;0.015021;0.015323;0.015731;0.015551;0.015650;0.015839;0.016009;0.016100;0.015861;0.016310;0.015924;0.016205;0.016139;0.015846;0.015865;0.016039;0.015834;0.016448;0.015908;0.015930;0.016228;0.016465;0.015780;0.016679;0.016542;0.016559;0.016546;0.016748;0.016314;0.016876;0.016343;0.016159;0.015848;0.016524;0.017029;0.016282;0.017033;0.016447;0.016405;0.016890;0.016914;0.017549;0.017347;0.016719;0.016669;0.016862;0.017410;0.017588;0.016515;0.017732;0.017401;0.017062;0.016931;0.017295;0.016887;0.016791;0.016947;0.017062
