;0;300;600;900;1200;1500;1800
389,500000;0,031994;0,032762;0,034673;0,034761;0,037079;0,036960;0,039637
390,000000;0,031835;0,033216;0,034370;0,035042;0,037501;0,037286;0,039571
390,500000;0,030771;0,032682;0,032860;0,035129;0,036164;0,037126;0,037458
391,000000;0,030686;0,031833;0,032245;0,035127;0,035194;0,036340;0,036925
391,500000;0,030979;0,031181;0,032467;0,034766;0,035057;0,035472;0,037660
392,000000;0,029569;0,030973;0,031944;0,033725;0,034792;0,035342;0,036625
392,500000;0,028776;0,031711;0,031876;0,033569;0,034814;0,035708;0,036348
393,000000;0,030099;0,032997;0,033182;0,034925;0,035358;0,035995;0,038410
393,500000;0,030103;0,032389;0,034086;0,035090;0,035253;0,035738;0,038315
394,000000;0,028762;0,030795;0,033948;0,034040;0,034743;0,035062;0,036626
394,500000;0,029191;0,031596;0,033434;0,034209;0,035151;0,034558;0,038149
395,000000;0,030096;0,032203;0,032391;0,034864;0,035015;0,034278;0,039286
395,500000;0,029644;0,030209;0,030891;0,034629;0,033364;0,034135;0,036456
396,000000;0,029211;0,029802;0,030487;0,033824;0,033303;0,034263;0,034855
396,500000;0,029443;0,031627;0,031487;0,033151;0,034759;0,034682;0,036040
397,000000;0,029697;0,031933;0,032667;0,033266;0,034198;0,035247;0,036604
397,500000;0,029926;0,031235;0,033498;0,033927;0,033220;0,035787;0,036863
398,000000;0,030279;0,031240;0,033789;0,034452;0,034094;0,035989;0,037794
398,500000;0,030607;0,031239;0,033348;0,034081;0,034230;0,035210;0,037155
399,000000;0,030452;0,030787;0,032423;0,032946;0,032771;0,033697;0,034900
399,500000;0,029210;0,030250;0,031725;0,032127;0,031765;0,032710;0,033921
400,000000;0,027844;0,029826;0,031387;0,031566;0,031530;0,032410;0,034129
