K1,0,-1.11315
K1,0,-1.17053
K1,0.01,-1.19348
K1,0.01,-1.21643
K1,0.01,-1.21643
K1,0.01,-1.20496
K1,0.01,-1.18201
K1,0.01,-1.14758
K1,0.02,-1.17053
K1,0.02,-1.19348
K1,0.02,-1.19348
K1,0.02,-1.20496
K1,0.02,-1.19348
K1,0.02,-1.21643
K1,0.03,-1.19348
K1,0.03,-1.17053
K1,0.03,-1.17053
K1,0.03,-1.15905
K1,0.03,-1.1361
K1,0.03,-1.05577
K1,0.04,-0.97544
K1,0.04,-0.91806
K1,0.04,-0.91806
K1,0.04,-0.95249
K1,0.04,-0.99839
K1,0.04,-1.05577
K1,0.05,-1.14758
K1,0.05,-1.23938
K1,0.05,-1.29676
K1,0.05,-1.26234
K1,0.05,-1.18201
K1,0.05,-1.10168
K1,0.06,-1.07872
K1,0.06,-1.11315
K1,0.06,-1.17053
K1,0.06,-1.22791
K1,0.06,-1.29676
K1,0.06,-1.40005
K1,0.07,-1.48038
K1,0.07,-1.5148
K1,0.07,-1.57218
K1,0.07,-1.61809
K1,0.07,-1.60661
K1,0.07,-1.58366
K1,0.08,-1.57218
K1,0.08,-1.56071
K1,0.08,-1.59513
K1,0.08,-1.60661
K1,0.08,-1.61809
K1,0.08,-1.65251
K1,0.08,-1.65251
K1,0.09,-1.60661
K1,0.09,-1.57218
K1,0.09,-1.50333
K1,0.09,-1.45742
K1,0.09,-1.45742
K1,0.1,-1.45742
K1,0.1,-1.38857
K1,0.1,-1.30824
K1,0.1,-1.30824
K1,0.1,-1.38857
K1,0.1,-1.49185
K1,0.11,-1.59513
K1,0.11,-1.67546
K1,0.11,-1.73284
K1,0.11,-1.79022
K1,0.11,-1.85908
K1,0.11,-1.8935
K1,0.12,-1.90498
K1,0.12,-1.97384
K1,0.12,-2.00826
K1,0.12,-2.03121
K1,0.12,-2.08859
K1,0.12,-2.16892
K1,0.13,-2.2263
K1,0.13,-2.2263
K1,0.13,-2.2263
K1,0.13,-2.2263
K1,0.13,-2.24925
K1,0.13,-2.27221
K1,0.14,-2.31811
K1,0.14,-2.43287
K1,0.14,-2.53615
K1,0.14,-2.57058
K1,0.14,-2.53615
K1,0.14,-2.40992
K1,0.15,-2.37549
K1,0.15,-2.38696
K1,0.15,-2.40992
K1,0.15,-2.42139
K1,0.15,-2.40992
K1,0.15,-2.44434
K1,0.16,-2.37549
K1,0.16,-2.28368
K1,0.16,-2.21483
K1,0.16,-2.15745
K1,0.16,-2.14597
K1,0.16,-2.11154
K1,0.17,-2.04269
K1,0.17,-2.00826
K1,0.17,-1.98531
K1,0.17,-2.03121
K1,0.17,-2.05417
K1,0.17,-2.08859
K1,0.18,-2.12302
K1,0.18,-2.1345
K1,0.18,-2.14597
K1,0.18,-2.14597
K1,0.18,-2.15745
K1,0.18,-2.20335
K1,0.19,-2.23778
K1,0.19,-2.28368
K1,0.19,-2.34106
K1,0.19,-2.32958
K1,0.19,-2.31811
K1,0.19,-2.35254
K1,0.2,-2.38696
K1,0.2,-2.40992
K1,0.2,-2.43287
K1,0.2,-2.44434
K1,0.2,-2.44434
K1,0.2,-2.47877
K1,0.21,-2.50172
K1,0.21,-2.50172
K1,0.21,-2.50172
K1,0.21,-2.49025
K1,0.21,-2.44434
K1,0.21,-2.45582
K1,0.22,-2.42139
K1,0.22,-2.29516
K1,0.22,-2.21483
K1,0.22,-2.21483
K1,0.22,-2.28368
K1,0.22,-2.36401
K1,0.23,-2.40992
K1,0.23,-2.43287
K1,0.23,-2.43287
K1,0.23,-2.39844
K1,0.23,-2.35254
K1,0.23,-2.2263
K1,0.24,-2.16892
K1,0.24,-2.2263
K1,0.24,-2.24925
