wavelength,state,fluorescence intensity (a.u.)
577.94,denat,3.61391
578.96997,denat,4.38083
580,denat,3.96394
581.02002,denat,2.97712
582.04999,denat,3.14927
582.94,denat,3.32908
583.96997,denat,3.12046
585,denat,3.6621
586.02002,denat,2.98492
587.04999,denat,2.08657
587.94,denat,2.47797
588.96997,denat,3.08077
590,denat,2.46584
591.02002,denat,2.50305
592.04999,denat,3.19054
592.94,denat,2.31993
593.96997,denat,2.44211
595,denat,2.26514
596.02002,denat,2.79538
597.04999,denat,2.01867
597.94,denat,2.21287
598.96997,denat,2.12596
600,denat,2.29069
