wavelength,tampon,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11
513.92999,0.22021,251.96999,231.16711,216.04404,200.06848,185.84135,170.44928,156.27339,140.81606,126.37131,112.88373,98.55399,87.10513,73.53668,60.96829,48.63391,39.34006,37.78342,25.22385,24.56166,24.32239,19.87849,19.73518,19.20314
516.06,0.2497,261.32059,240.22508,223.65045,208.47658,192.34081,175.59981,160.65811,145.62869,131.02646,117.49045,102.92811,89.82596,76.03911,63.29644,51.70608,40.72121,38.97905,25.93329,25.51888,24.70689,20.88089,20.7479,20.10191
518.03003,0.25106,268.15985,246.51404,230.20848,214.64571,196.3382,181.61015,163.6573,149.85976,134.6217,120.0399,106.05891,91.81004,78.07196,65.44318,53.10734,41.4278,40.60243,26.89033,25.85049,25.26559,21.17909,21.03841,20.77942
520,0.32616,273.78094,251.67137,234.87354,217.29271,200.92404,186.37424,168.321,152.10513,136.27916,122.57686,107.22748,94.25969,79.73367,65.13805,54.11251,42.90054,40.89739,27.91873,26.42333,25.79834,21.69017,21.31029,20.92823
522.04999,0.38087,275.83524,254.51913,236.63718,220.67294,203.27325,187.41199,171.11015,155.50369,138.66985,124.28912,108.20686,95.71671,81.10403,67.17205,55.27597,43.39863,41.27947,27.95917,26.92575,26.38881,22.07466,21.27021,21.39968
523.96997,0.41186,278.45932,255.26663,237.63982,222.92476,206.24414,188.64351,172.5871,156.1093,140.72435,125.58472,109.86631,96.57684,81.90847,68.3972,54.92671,43.82348,42.14804,27.73984,27.16814,26.90767,22.04811,21.57001,21.5348
526.02002,0.55998,281.12433,257.29807,239.64479,224.53789,207.78493,190.56068,171.75594,155.69955,140.72751,125.87904,109.98566,96.24685,82.19703,67.10791,55.36442,44.2965,42.14549,28.15644,27.2695,26.57776,21.85237,22.02785,21.30605
527.94,0.51056,280.48187,256.61002,240.4411,222.48476,207.7628,190.56281,171.77914,156.22581,139.35597,125.41749,110.39928,96.38851,81.81996,67.30698,55.12475,43.82291,41.74868,27.82052,27.17381,26.39036,21.72458,21.47912,21.16759
530,0.45908,278.6218,256.54242,239.44391,221.70181,204.58733,187.31154,172.38884,153.00656,139.14825,124.60929,109.9856,95.28539,82.04343,67.03911,54.6759,43.53567,41.64789,27.99864,26.6774,26.2612,21.84746,21.65528,21.5866
531.94,0.37814,274.61795,252.96506,234.9901,219.64056,204.31697,187.93956,170.04123,154.87155,138.65749,124.34537,107.95302,94.39539,80.71681,66.14863,54.1364,43.52139,41.481,27.93012,26.56784,26.35081,21.57971,21.5392,21.02198
534.02002,0.3368,272.55295,249.77107,233.80542,217.76874,201.96065,185.37117,167.22945,152.95615,135.98489,121.77012,106.95302,93.33308,79.61327,65.74592,53.34132,42.26073,40.89387,27.33079,25.97391,25.53175,21.34586,21.15399,20.65837
535.96997,0.36335,269.85095,246.95511,230.70854,214.50829,198.78989,182.32655,163.70984,151.04945,134.93378,121.37208,105.81916,92.1697,78.50682,64.55096,53.21769,42.10785,40.16506,27.12496,26.43184,25.09963,20.90881,20.07263,20.27437
538.04999,0.26118,263.84973,243.05376,227.43063,211.89471,197.28491,179.89137,163.84552,146.15009,133.43231,118.21787,104.82201,90.65177,76.51296,63.8163,52.18201,40.93867,39.91848,26.11457,25.67646,24.7515,20.77226,20.16858,20.26769
540,0.19186,261.18686,239.99397,225.39471,208.87329,191.15103,175.99573,158.99307,145.82841,130.72902,117.10319,101.9007,90.13329,75.18562,63.16409,51.22412,40.54638,38.3087,25.99777,25.2104,23.95232,20.2178,19.95743,19.54936
541.94,0.25759,257.27737,234.64595,219.98131,203.98302,189.69154,173.61208,156.52319,143.36751,128.92245,115.68729,100.30428,87.33286,73.65405,61.79377,49.55661,39.99541,38.60245,24.92635,24.5496,24.118,19.86433,19.71956,19.01069
544.02002,0.17537,251.30263,231.4126,216.29659,200.03947,185.17532,171.28975,154.08286,139.45132,126.76333,112.2628,98.88805,85.88795,72.26038,60.17427,48.88942,38.43647,37.78275,25.30583,24.18342,23.65436,19.38509,19.16174,18.55488
545.96997,0.13611,245.95467,222.17548,212.59178,196.44724,182.27422,166.21982,150.26929,138.56718,123.6157,109.59009,96.28304,84.96869,71.67775,59.03136,48.59029,37.87231,36.6225,24.02344,23.34286,23.01335,18.96913,18.82058,18.32286
548.04999,0.1189,239.56718,220.7408,207.03989,192.77611,179.48901,162.14279,148.39572,133.61713,119.85015,106.49037,93.77898,82.32577,70.03905,57.78276,46.9457,37.09308,35.80328,23.73945,23.12185,22.01584,18.14418,18.26707,17.80333
550,0.13164,233.34236,215.65622,203.20273,186.65919,172.73967,160.31476,144.47923,132.36369,118.14197,104.70106,91.61945,80.78671,68.70071,56.63024,45.91562,36.08279,34.98286,22.9425,22.35724,21.91614,18.2117,17.99998,17.68701
552.04999,0.1574,228.18495,210.87807,196.45016,181.66064,168.90329,155.5706,140.80293,126.91553,114.55171,101.25592,90.24221,77.22214,65.83144,54.35781,44.77919,35.05748,34.25574,22.18687,21.67185,21.9206,17.6092,17.47379,16.99014
553.96997,0.2069,221.91277,204.0033,190.93675,176.69142,163.12428,151.02231,136.5107,124.25958,112.09733,99.45448,86.62822,76.10671,64.26223,53.76114,43.58702,34.24797,32.9414,21.88742,20.77236,20.43801,17.33842,16.73869,16.54228
