genotype,repetition,jour0,jour3,jour4,jour5,jour6,jour7
nqrfqr1,1,0,0.5,1.2,1.8,2.7,3.5
nqrfqr1,2,0,0.2,0.5,1,1.4,2.1
nqrfqr1,2,0,0.4,1,1.5,2.2,3
nqrfqr1,2,0,0.3,0.6,1.3,2,2.7
nqrfqr1,2,0,0.2,0.6,1.2,1.8,2.5
nqrfqr1,2,0,0.1,0.4,0.8,1.3,2.1
nqrfqr1,2,0,0.3,0.8,1.4,2.1,2.9
nqrfqr1,2,0,0.3,0.8,1.3,1.8,2.6
nqrfqr1,2,0,0.2,0.6,1.1,1.7,2.3
nqrfqr1,2,0,0.2,0.7,1.3,2,2.8
nqrfqr1,2,0,0.2,0.6,1.2,1.8,2.5
nqrfqr1,2,0,0.3,0.7,1.3,2,2.8
nqrfqr1,2,0,0.3,0.8,1.4,2,2.8
nqrfqr1,2,0,0.2,0.6,1.1,1.7,2.3
nqrfqr1,2,0,0.3,0.7,1.3,1.9,2.5
nqrfqr1,2,0,0.3,0.7,1.2,1.8,2.6
nqrfqr1,2,0,0.3,0.8,1.3,2,2.7
nqrfqr1,2,0,0.2,0.8,1.4,2,2.7
nqrfqr1,2,0,0.2,0.6,1.3,1.9,2.7
nqrfqr1,2,0,0.2,0.5,1,1.5,2
nqrfqr1,2,0,0.4,1,1.5,2.1,2.8
nqrfqr1,2,0,0.2,0.4,0.7,1.1,1.8
nqrfqr1,2,0,0.1,0.5,0.9,1.5,2.2
nqrfqr1,2,0,0.4,1,1.5,2.4,2.8
nqrfqr1,2,0,0.2,0.6,1.1,1.6,2.2
nqrfqr1,2,0,0.2,0.6,0.8,1.3,1.9
nqrfqr1,2,0,0.2,0.6,1,1.7,2.3
nqrfqr1,2,0,0.4,0.9,1.4,2,2.8
nqrfqr1,2,0,0.4,0.9,1.4,2,2.8
nqrfqr1,2,0,0.3,0.6,1.2,1.8,2.4
nqrfqr1,2,0,0.4,0.9,1.4,2,2.7
nqrfqr1,2,0,0.5,0.9,1.4,2.1,2.8
nqrfqr1,2,0,0.2,0.8,1.4,2.1,2.8
nqrfqr1,2,0,0.4,0.6,1.4,2.2,3
nqrfqr1,3,0,0.3,0.8,1.3,2,2.8
nqrfqr1,3,0,0.3,0.8,1.4,2.1,2.9
nqrfqr1,3,0,0.1,0.5,1,1.6,2.2
nqrfqr1,3,0,0.3,0.6,1.1,1.7,2.5
nqrfqr1,3,0,0.3,0.5,1,1.7,2.5
nqrfqr1,3,0,0.2,0.7,1.3,2,2.7
nqrfqr1,3,0,0.1,0.5,1.1,1.8,2.7
nqrfqr1,3,0,0.2,0.7,1.2,1.9,2.6
nqrfqr1,3,0,0.1,0.5,1,1.5,2.2
nqrfqr1,3,0,0.2,0.8,1.3,2,2.8
nqrfqr1,3,0,0.2,0.6,1.1,1.8,2.5
nqrfqr1,3,0,0.2,0.6,1.1,1.6,2.3
nqrfqr1,3,0,0.2,0.6,1.2,1.7,2.4
nqrfqr1,3,0,0.2,0.6,1,1.7,2.4
nqrfqr1,3,0,0.2,0.4,0.9,1.4,2.3
nqrfqr1,3,0,0.3,0.6,1.2,1.8,2.7
nqrfqr1,3,0,0.3,0.9,1.4,2,2.7
nqrfqr1,3,0,0.5,0.8,1.4,2.1,2.9
nqrfqr1,3,0,0.2,0.6,1,1.7,2.3
nqrfqr1,3,0,0.3,0.9,1.5,2.2,2.9
nqrfqr1,3,0,0.4,1,1.5,2.1,2.9
nqrfqr1,3,0,0.4,0.8,1.3,2,2.7
nqrfqr1,3,0,0.2,0.7,1.3,1.9,2.7
nqrfqr1,3,0,0.3,0.6,1,1.6,2.3
nqrfqr1,3,0,0.3,0.7,1.2,1.8,2.4
nqrfqr1,3,0,0.3,0.7,1.2,1.8,2.7
nqrfqr1,3,0,0.3,0.9,1.3,2.1,2.7
nqrfqr1,3,0,0.3,0.7,1.1,1.8,2.5
nqrfqr1,3,0,0.3,0.7,1.1,1.8,2.5
nqrfqr1,3,0,0.2,0.5,1,1.7,2.5
nqrfqr1,3,0,0.1,0.7,1.2,1.8,2.5
nqrfqr1,3,0,0.1,0.7,1.2,1.8,2.5
