air12,0,0.2,0.4,1,1.6,2.5
air12,0,0.3,1,1.8,2.7,3.8
air12,0,0.3,0.9,1.5,2.4,3.5
nqrair12,0,0.3,0.8,1.5,2.3,3.3
nqrair12,0,0.2,0.7,1.3,1.8,2.9
nqrair12,0,0.2,0.7,1.3,2.2,2.8
nqrair12,0,0.3,0.7,1.4,2.1,3.2
nqrair12,0,0.1,0.5,0.9,1.6,2.6
nqrair12,0,0.2,0.6,1.2,2.1,3.2
nqrair12,0,0.3,0.7,1.3,2.8,3.4
nqrair12,0,0.2,0.7,1.4,2,3
nqrair12,0,0.3,0.9,1.7,2.6,3.8
nqrair12,0,0.2,0.7,1.2,1.8,2.6
nqrair12,0,0.3,0.8,1.4,2.4,3.1
nqrair12,0,0.3,0.8,1.5,2.1,3.2
nqrair12,0,0.4,1,1.6,2.4,3.5
nqrair12,0,0.2,0.7,1.3,2.1,3.1
nqrair12,0,0.2,0.6,0.9,1.6,2.6
nqrair12,0,0.2,0.6,1.3,2.3,3.3
nqrair12,0,0.2,0.8,1.3,2.2,3.1
nqrair12,0,0.3,0.8,1.4,2.1,3
nqrair12,0,0.2,0.5,1.2,2.1,3.1
nqrair12,0,0.4,0.9,1.6,2.5,3.6
nqrair12,0,0.3,0.6,1.1,1.9,2.9
nqrair12,0,0.3,0.6,1.2,1.8,2.8
nqrair12,0,0.2,0.8,1.4,2.2,3.2
nqrair12,0,0.2,0.7,1.4,2.3,3.4
nqrair12,0,0.2,0.6,1.2,2,3
nqrair12,0,0.2,0.6,1.2,2,2.7
nqrair12,0,0.3,0.8,1.6,2.6,3.7
nqrair12,0,0.2,0.7,1.4,2.2,3.3
nqrair12,0,0.2,0.7,1.2,2,3
nqrair12,0,0.1,0.6,1.1,1.8,2.8
nqrair12,0,0.3,0.9,1.4,2.2,3.3
nqrair12,0,0.2,0.5,0.9,1.5,2.4
nqrair12,0,0.3,0.6,1.3,2.1,3.3
nqrair12,0,0.2,0.6,1.3,2,3.1
nqrair12,0,0.2,0.7,1.3,2.2,3.4
nqrair12,0,0.3,0.7,1.2,2,2.9
nqrair12,0,0.3,0.9,1.5,2.3,3.4
nqrair12,0,0.2,0.5,1,1.8,2.9
nqrair12,0,0.2,0.6,1,1.6,2.7
nqrair12,0,0.2,0.7,1.3,2.1,3.2
nqrair12,0,0.5,1,1.6,2.8,3.6
nqrair12,0,0.2,0.4,0.8,1.2,2
nqrair12,0,0.2,0.7,1.3,2.1,3.1
nqrair12,0,0.2,0.6,1.3,1.9,3.1
nqrair12,0,0.2,0.5,1,1.7,2.5
nqrair12,0,0.1,0.5,1.1,1.8,2.9
nqrair12,0,0.1,0.3,0.9,1.8,2.7
nqrair12,0,0.2,0.6,1.2,2,3.1
nqrair12,0,0.2,0.5,1.2,1.9,3.1
nqrair12,0,0.2,0.6,1.2,2,3.1
nqrair12,0,0.2,0.5,1.2,1.9,3
nqrair12,0,0.2,0.8,1.3,2.1,3.1
nqrair12,0,0.2,0.6,1.2,2.1,3.1
nqrair12,0,0.3,0.6,1.1,1.8,2.6
nqrair12,0,0.2,0.5,1.1,1.8,2.7
nqrair12,0,0.2,0.5,1.1,1.9,2.9
nqrair12,0,0.2,0.6,1.3,2.2,3.3
nqrair12,0,0,0.2,0.5,1,1.9
nqrair12,0,0.2,0.7,1.2,2.1,3.1
nqrair12,0,0.3,0.7,1.3,2.1,3.1
nqrair12,0,0.1,0.5,1,1.8,2.8
nqrair12,0,0.2,0.5,0.9,1.5,2.6
nqrair12,0,0.2,0.7,1.3,2.3,3.4
WT,0,0.3,0.8,1.4,2.2,3
WT,0,0.3,0.8,1.5,2.4,3.3
WT,0,0.3,0.7,1.1,1.8,2.6
WT,0,0.3,0.8,1.3,2.2,3.1
WT,0,0.5,1.2,1.9,2.8,4
WT,0,0.3,0.7,1.4,2.2,3.1
WT,0,0.3,0.8,1.2,2,2.9
WT,0,0.3,0.5,0.8,1.4,2.2
WT,0,0.2,0.5,0.8,1.5,2.4
WT,0,0.6,1.1,1.7,2.6,3.7
WT,0,0.3,0.8,1.3,2.1,3
WT,0,0.5,1,1.8,2.7,3.8
WT,0,0.3,0.6,1,1.9,2.6
WT,0,0.6,1,1.9,3.1,4
WT,0,0.4,0.9,1.6,2.6,3.5
WT,0,0.2,0.5,0.9,1.6,2.4
WT,0,0.4,1,1.6,2.4,3.3
WT,0,0.2,0.5,0.7,1.2,2
WT,0,0.3,0.7,1.3,2,2.8
WT,0,0.5,1.1,1.9,2.9,3.9
WT,0,0.5,1,1.6,2.6,3.5
WT,0,0.4,1,1.8,2.8,3.7
WT,0,0.4,1,1.9,2.7,3.6
WT,0,0.5,1,1.8,2.8,3.9
WT,0,0.5,1.2,1.9,2.9,3.7
WT,0,0.3,0.7,1,1.8,2.8
WT,0,0.3,0.8,1.4,2.2,3.1
WT,0,0.5,0.9,1.9,2.9,4
WT,0,0.5,0.9,1.2,2.3,3.2
WT,0,0.4,0.8,1.5,2.4,3.5
WT,0,0.3,0.5,1.2,2,2.9
WT,0,0.6,1,2.2,3.3,4.3
WT,0,0.5,1.1,2,2.9,4
WT,0,0.6,1.2,2.1,3.2,3.4
WT,0,0.6,1,1.9,2.9,3.9
nqr,0,0.2,0.5,1.1,1.9,2.7
nqr,0,0.4,0.9,1.6,2.5,3.5
nqr,0,0.2,0.5,1,1.7,2.5
nqr,0,0.2,0.7,1.2,2,2.8
nqr,0,0.3,0.8,1.4,2.2,3.2
nqr,0,0.4,0.8,1.4,2.2,3.1
nqr,0,0.3,0.8,1.2,2.1,3
nqr,0,0.2,0.6,1.3,2.2,3
nqr,0,0.2,0.6,1.2,2.1,3
nqr,0,0.2,0.5,1,1.7,2.4
nqr,0,0.2,0.5,0.8,1.4,2.2
nqr,0,0.3,0.6,1.3,2,2.9
nqr,0,0.3,0.7,1.5,2.4,3.4
nqr,0,0.4,1,1.6,2.6,3.5
nqr,0,0.2,0.7,1.4,2.2,3.2
nqr,0,0.2,0.6,1,1.8,2.6
nqr,0,0.4,1,1.8,2.8,3.8
nqr,0,0.5,1.1,2,3,3.9
nqr,0,0.3,0.8,1.7,2.6,3.6
nqr,0,0.3,0.8,1.5,2.2,2.9
nqr,0,0.5,1,1.8,2.8,3.8
nqr,0,0.4,1.1,1.6,2.5,3.3
nqr,0,0.4,0.9,1.7,2.7,3.7
nqr,0,0.2,0.7,1.4,2.2,3.2
air12,0,0.2,0.5,1,1.7,2.6
air12,0,0.4,0.8,1.4,2.2,3.2
air12,0,0.5,1,1.6,2.5,3.5
air12,0,0.3,0.8,1.5,2.4,3.4
air12,0,0.4,0.9,1.7,2.7,3.8
air12,0,0.3,0.9,1.5,2.4,3.4
air12,0,0.3,0.7,1.2,1.9,2.8
air12,0,0.3,0.5,0.8,1.6,2.5
air12,0,0.2,0.5,0.9,1.6,2.3
air12,0,0.3,0.8,1.5,2.3,3.3
air12,0,0.2,0.6,1.4,2.5,3.3
air12,0,0.5,1,1.8,2.8,3.7
air12,0,0.5,1,1.7,2.7,3.7
air12,0,0.7,1.3,2.1,3.1,4
air12,0,0.6,1,1.8,2.8,3.9
air12,0,0.4,0.9,1.6,2.5,3.5
air12,0,0.4,1,1.6,2.5,3.5
air12,0,0.4,1,1.6,2.5,3.5
air12,0,0.5,1,1.9,3.1,4.1
air12,0,0.1,0.5,0.9,1.6,2.3
air12,0,0.2,0.6,1,1.8,2.8
air12,0,0.4,0.7,1.4,2.1,3
air12,0,0.5,1,1.7,2.6,3.7
air12,0,0.7,1.1,1.8,2.7,3.7
air12,0,0.4,1.1,1.7,2.7,3.6
air12,0,0.3,0.9,1.4,2.2,3
air12,0,0.7,1,1.9,2.9,4
air12,0,0.3,0.7,1.3,2,2.7
air12,0,0.6,1.1,1.8,2.7,3.6
air12,0,0.5,1,1.7,2.6,3.7
nqrair12,0,0.2,0.5,0.8,1.5,2.2
nqrair12,0,0.5,1,1.7,2.5,3.5
nqrair12,0,0.3,0.5,1,1.8,2.6
nqrair12,0,0.5,0.9,1.6,2.6,3.5
nqrair12,0,0.4,0.9,1.5,2.4,3.4
nqrair12,0,0.2,0.4,0.6,1.2,2
nqrair12,0,0.3,0.6,1,1.8,2.7
nqrair12,0,0.2,0.5,0.9,1.5,2.4
nqrair12,0,0.5,1,1.9,2.9,4
nqrair12,0,0.5,0.9,1.6,2.6,3.4
nqrair12,0,0.4,1,1.6,2.6,3.6
nqrair12,0,0.2,0.6,1,1.8,2.7
nqrair12,0,0.1,0.4,0.8,1.5,2.2
nqrair12,0,0,0.2,0.5,1.1,1.9
nqrair12,0,0.5,1,1.7,2.7,3.8
nqrair12,0,0.4,1,1.7,2.7,3.8
nqrair12,0,0.3,0.7,1.3,2.2,3.2
nqrair12,0,0.4,1.1,1.8,2.9,3.9
nqrair12,0,0.2,0.7,1.3,2.2,2.9
nqrair12,0,0.2,0.5,0.9,1.3,2.1
nqrair12,0,0.2,0.6,1.3,2.1,3
nqrair12,0,0.3,0.6,1.1,1.9,2.7
nqrair12,0,0.1,0.5,0.8,1.5,2.2
nqrair12,0,0.2,0.9,1.4,2.3,3.3
nqrair12,0,0.5,1,1.4,2.4,3.4
nqrair12,0,0.5,1.1,1.8,2.9,4
nqrair12,0,0.2,0.4,0.6,1,1.6
nqrair12,0,0.5,0.9,1.6,2.6,3.4
nqrair12,0,0.3,0.8,1.5,2.3,3.2
nqrair12,0,0.3,0.9,1.7,2.7,3.7
nqrair12,0,0.5,0.9,1.7,2.6,3.5
nqrair12,0,0.4,0.9,1.5,2.4,3.5
