wavelength;0.00 sec;10.00 sec;20.00 sec;30.00 sec;40.00 sec;50.00 sec;60.00 sec;70.00 sec;80.00 sec;90.00 sec;100.00 sec;110.00 sec;120.00 sec;130.00 sec;140.00 sec;150.00 sec;160.00 sec;170.00 sec;180.00 sec;190.00 sec;200.00 sec;210.00 sec;220.00 sec;230.00 sec;240.00 sec;250.00 sec;260.00 sec;270.00 sec;280.00 sec;290.00 sec;300.00 sec;310.00 sec;320.00 sec;330.00 sec;340.00 sec;350.00 sec;360.00 sec;370.00 sec;380.00 sec;390.00 sec;400.00 sec;410.00 sec;420.00 sec;430.00 sec;440.00 sec;450.00 sec;460.00 sec;470.00 sec;480.00 sec;490.00 sec;500.00 sec;510.00 sec;520.00 sec;530.00 sec;540.00 sec;550.00 sec;560.00 sec;570.00 sec;580.00 sec;590.00 sec;600.00 sec
340.500000;0.252122;0.252533;0.252486;0.251674;0.252696;0.252689;0.252477;0.252437;0.252097;0.252182;0.252251;0.252414;0.252572;0.252533;0.251998;0.252267;0.251706;0.252698;0.252862;0.252406;0.251633;0.252651;0.252032;0.251571;0.252383;0.251634;0.251909;0.251912;0.251624;0.252473;0.251909;0.252778;0.251663;0.252076;0.252226;0.251921;0.252213;0.252435;0.251516;0.251740;0.250941;0.251721;0.253070;0.252412;0.251917;0.251442;0.252315;0.251703;0.252401;0.251851;0.251646;0.251857;0.252733;0.251685;0.251655;0.251896;0.252214;0.251640;0.252362;0.252285;0.252977
341.000000;0.251889;0.252063;0.251561;0.250629;0.251619;0.252132;0.251567;0.251220;0.251403;0.252118;0.251616;0.252005;0.252240;0.251942;0.251247;0.251820;0.251559;0.252038;0.251879;0.251562;0.251561;0.252239;0.251715;0.251314;0.251568;0.251327;0.251335;0.251636;0.251130;0.251926;0.251155;0.251688;0.251771;0.251667;0.251870;0.251294;0.251338;0.252118;0.251114;0.251217;0.250664;0.251450;0.252121;0.252181;0.251238;0.251084;0.251611;0.251816;0.252070;0.250663;0.251194;0.251035;0.252111;0.251350;0.250877;0.251464;0.251469;0.251200;0.251693;0.251671;0.252526
341.500000;0.251403;0.251939;0.251217;0.250085;0.250140;0.250702;0.250953;0.250492;0.250586;0.251131;0.251037;0.251184;0.251191;0.251082;0.250502;0.251223;0.250657;0.250736;0.250702;0.250944;0.251478;0.251374;0.251307;0.251205;0.251109;0.251029;0.251170;0.251070;0.250865;0.251034;0.250812;0.250835;0.251297;0.251467;0.251269;0.250547;0.251181;0.251555;0.250576;0.251209;0.250875;0.251091;0.250989;0.251147;0.250546;0.250932;0.251359;0.251535;0.251340;0.250438;0.251135;0.250857;0.251945;0.251775;0.250719;0.251167;0.251359;0.251406;0.250933;0.251269;0.251759
342.000000;0.250472;0.250529;0.250332;0.249908;0.249451;0.249539;0.249805;0.249824;0.249524;0.249706;0.249659;0.249996;0.249927;0.250000;0.249090;0.250126;0.249098;0.249764;0.249223;0.250145;0.250263;0.250402;0.250337;0.250333;0.250254;0.249793;0.250499;0.249571;0.250045;0.250294;0.250354;0.250373;0.250266;0.250900;0.250434;0.249701;0.250654;0.250565;0.250205;0.250421;0.250384;0.250618;0.250137;0.249909;0.249930;0.250410;0.250929;0.250488;0.250482;0.250178;0.250871;0.250482;0.251043;0.251183;0.250379;0.250675;0.250798;0.250570;0.250393;0.250482;0.250477
342.500000;0.249228;0.248604;0.248819;0.249085;0.249026;0.248621;0.248298;0.248786;0.248211;0.248541;0.247944;0.248654;0.248703;0.248931;0.247796;0.248931;0.247794;0.248928;0.247966;0.248960;0.248468;0.249272;0.249007;0.249058;0.249292;0.248310;0.249318;0.248051;0.248978;0.249550;0.249642;0.249817;0.248963;0.249611;0.249269;0.248896;0.249679;0.249460;0.249592;0.248956;0.249136;0.249714;0.249469;0.248987;0.249435;0.249266;0.249980;0.249238;0.249500;0.249224;0.249836;0.249729;0.249434;0.249848;0.249639;0.249762;0.249861;0.249097;0.249725;0.249461;0.249242
343.000000;0.247980;0.247637;0.247232;0.246888;0.247790;0.247492;0.247117;0.247220;0.246853;0.248016;0.246809;0.247397;0.247585;0.248093;0.247607;0.248112;0.247513;0.247701;0.247479;0.247509;0.247274;0.247910;0.247849;0.248152;0.248713;0.247650;0.248145;0.247671;0.248259;0.248444;0.248761;0.248619;0.247791;0.247733;0.247842;0.248163;0.248693;0.248624;0.248356;0.247635;0.247767;0.248253;0.248685;0.248523;0.248924;0.247688;0.248601;0.248543;0.248363;0.247554;0.247943;0.248805;0.247843;0.248931;0.248659;0.248415;0.249067;0.248289;0.248498;0.248645;0.248728
343.500000;0.246991;0.246530;0.246080;0.245332;0.246331;0.246600;0.246547;0.245800;0.246132;0.247050;0.245988;0.246227;0.246529;0.247242;0.247100;0.246815;0.246884;0.246812;0.247041;0.246512;0.246607;0.246971;0.247163;0.247167;0.247466;0.246805;0.247336;0.247278;0.247177;0.247250;0.247711;0.247234;0.247055;0.246568;0.246976;0.246878;0.247697;0.247679;0.247710;0.246803;0.246906;0.247336;0.247854;0.247536;0.247658;0.246668;0.247646;0.247942;0.247496;0.246522;0.246668;0.247768;0.246794;0.248355;0.247587;0.247094;0.247942;0.248137;0.247270;0.247843;0.248394
344.000000;0.245937;0.244618;0.245265;0.245059;0.245116;0.245864;0.246058;0.244726;0.245793;0.245167;0.245075;0.245025;0.245390;0.246014;0.245523;0.244893;0.245313;0.246335;0.246064;0.245993;0.245894;0.246438;0.246598;0.245751;0.245369;0.245265;0.246653;0.246094;0.245553;0.246143;0.246419;0.246017;0.246456;0.246364;0.246587;0.245099;0.246453;0.246422;0.247659;0.246123;0.246377;0.247115;0.246884;0.245859;0.245622;0.246378;0.247229;0.247007;0.246834;0.246427;0.246370;0.246536;0.246266;0.247536;0.246387;0.246021;0.246426;0.247983;0.246367;0.246858;0.247628
344.500000;0.243736;0.242762;0.243859;0.243838;0.243855;0.244181;0.244170;0.243260;0.244134;0.243299;0.243870;0.243613;0.243922;0.244086;0.243950;0.243654;0.244042;0.244987;0.244620;0.244773;0.244336;0.245090;0.245009;0.244127;0.243984;0.243957;0.245100;0.244713;0.244389;0.244933;0.244764;0.244805;0.244922;0.245464;0.245084;0.244042;0.244591;0.245164;0.245990;0.244494;0.244905;0.245965;0.245370;0.244840;0.244044;0.245532;0.246145;0.245785;0.245467;0.245593;0.245311;0.244915;0.245528;0.245648;0.244794;0.244920;0.245356;0.246719;0.245417;0.245698;0.246188
345.000000;0.241126;0.241290;0.241944;0.241704;0.242416;0.241947;0.241700;0.241632;0.241751;0.241958;0.242281;0.242299;0.242228;0.242167;0.242740;0.242973;0.242858;0.242742;0.242912;0.242690;0.242508;0.243066;0.242911;0.242469;0.243311;0.243025;0.243060;0.243293;0.243250;0.243491;0.243319;0.243258;0.243044;0.243696;0.243138;0.243281;0.242794;0.243874;0.243364;0.242557;0.242908;0.243990;0.243815;0.244110;0.243028;0.244026;0.244423;0.244320;0.243460;0.243888;0.243810;0.243331;0.244495;0.243445;0.243321;0.243810;0.244498;0.244632;0.244034;0.244318;0.244556
345.500000;0.239747;0.240041;0.240182;0.240121;0.240780;0.240414;0.240666;0.240562;0.240483;0.241133;0.240352;0.241460;0.240600;0.241311;0.241642;0.241804;0.240757;0.240506;0.241195;0.240400;0.241607;0.241405;0.241626;0.240892;0.242277;0.241992;0.241663;0.241655;0.241053;0.241784;0.242807;0.241149;0.242209;0.241916;0.242547;0.241551;0.242143;0.242339;0.242035;0.241783;0.241717;0.242368;0.243013;0.242382;0.241963;0.242545;0.242894;0.242680;0.241532;0.242218;0.243282;0.242487;0.243455;0.242421;0.242710;0.242829;0.243005;0.242827;0.242084;0.242706;0.243452
346.000000;0.239006;0.238844;0.238591;0.238978;0.239118;0.239581;0.240442;0.239553;0.239751;0.240023;0.238982;0.240059;0.239303;0.240455;0.240546;0.240363;0.239126;0.239455;0.240031;0.239210;0.240829;0.240729;0.240372;0.239829;0.240803;0.240676;0.240790;0.240269;0.239711;0.240384;0.242006;0.239897;0.241474;0.240624;0.241946;0.240228;0.241656;0.241152;0.241314;0.241188;0.240850;0.241221;0.241772;0.241030;0.241185;0.241389;0.241874;0.241574;0.240384;0.240924;0.242485;0.242190;0.242299;0.241923;0.241835;0.241692;0.241565;0.241704;0.241134;0.241652;0.242330
346.500000;0.237768;0.237496;0.237014;0.237758;0.237653;0.238675;0.239491;0.238081;0.238431;0.238166;0.238370;0.237953;0.238363;0.238591;0.239196;0.239053;0.238842;0.239546;0.239422;0.239301;0.239194;0.240492;0.238450;0.239138;0.239321;0.239007;0.239802;0.239275;0.239954;0.239429;0.239960;0.239896;0.239774;0.239686;0.240054;0.239925;0.240286;0.240475;0.239963;0.239623;0.239620;0.240190;0.239600;0.240744;0.240598;0.240358;0.240999;0.240995;0.240012;0.239931;0.240447;0.241462;0.240824;0.240842;0.239932;0.240271;0.240626;0.240918;0.241407;0.241194;0.240660
347.000000;0.235521;0.235510;0.234939;0.235961;0.235950;0.236407;0.236889;0.236193;0.236128;0.236058;0.236537;0.236871;0.236953;0.236238;0.236885;0.237323;0.237631;0.238124;0.237859;0.238018;0.236806;0.238440;0.236400;0.237291;0.237959;0.236690;0.237901;0.237425;0.238133;0.237523;0.237554;0.238289;0.237461;0.237748;0.237927;0.237906;0.238390;0.238850;0.237784;0.237434;0.238009;0.238453;0.238127;0.238905;0.238730;0.238386;0.238916;0.239048;0.238796;0.238367;0.238382;0.238979;0.238698;0.238857;0.238027;0.238684;0.238778;0.239037;0.239529;0.239335;0.238570
347.500000;0.233301;0.233537;0.233061;0.233944;0.234033;0.233831;0.234054;0.234231;0.233878;0.234265;0.234249;0.235966;0.235127;0.234201;0.234542;0.235471;0.235487;0.235759;0.235777;0.235626;0.234648;0.235753;0.234772;0.235232;0.236564;0.234658;0.235772;0.235311;0.235208;0.235349;0.235718;0.235696;0.235553;0.235587;0.236094;0.235345;0.236640;0.236660;0.235772;0.235626;0.236294;0.236499;0.237245;0.236263;0.236431;0.236477;0.236618;0.236637;0.236989;0.236603;0.236862;0.236270;0.236653;0.236822;0.236573;0.237167;0.236592;0.236797;0.236765;0.236995;0.236720
348.000000;0.231929;0.232108;0.231948;0.231910;0.231816;0.232116;0.232280;0.232125;0.232444;0.232757;0.232835;0.233310;0.233005;0.232571;0.232994;0.233743;0.233204;0.233904;0.233975;0.233303;0.233177;0.234225;0.233491;0.234269;0.234620;0.233596;0.234069;0.233757;0.233496;0.233910;0.234527;0.233751;0.234464;0.234249;0.234141;0.234360;0.235129;0.234636;0.234577;0.234580;0.234413;0.234819;0.235747;0.234463;0.234846;0.235740;0.235309;0.235164;0.235268;0.235086;0.235484;0.234996;0.235212;0.235313;0.235199;0.235587;0.234999;0.235226;0.235554;0.235654;0.235330
348.500000;0.230237;0.230457;0.230243;0.229580;0.229444;0.230082;0.230517;0.229769;0.230781;0.230970;0.231019;0.230077;0.230581;0.230420;0.231053;0.231645;0.230816;0.231860;0.231848;0.230945;0.231223;0.232605;0.231720;0.232927;0.231856;0.231999;0.232095;0.231873;0.231884;0.232275;0.232786;0.231945;0.232836;0.232596;0.231797;0.233285;0.233189;0.232499;0.232998;0.232771;0.232299;0.232647;0.233176;0.232781;0.232952;0.234167;0.233613;0.233463;0.232904;0.233071;0.233458;0.233714;0.233549;0.233586;0.233411;0.233533;0.233422;0.233423;0.234046;0.234035;0.233562
349.000000;0.227515;0.228101;0.227218;0.227057;0.227452;0.227104;0.228120;0.227558;0.228205;0.228753;0.228099;0.228102;0.228323;0.227532;0.228113;0.229095;0.228604;0.229157;0.229300;0.228718;0.228355;0.229924;0.229159;0.230073;0.228889;0.229034;0.229525;0.229293;0.229374;0.229877;0.229891;0.229874;0.229925;0.229934;0.229328;0.230538;0.230662;0.230281;0.230265;0.229495;0.230243;0.229772;0.230100;0.230665;0.230217;0.230511;0.230642;0.230799;0.229892;0.230327;0.230733;0.231204;0.231232;0.231290;0.231164;0.231056;0.231410;0.230822;0.230748;0.231344;0.231054
349.500000;0.224870;0.225337;0.224589;0.224275;0.225426;0.224591;0.226007;0.225509;0.225429;0.226361;0.225871;0.226227;0.226313;0.225141;0.225551;0.226394;0.226273;0.226259;0.227225;0.226615;0.226248;0.227268;0.226625;0.227142;0.226852;0.226665;0.226811;0.227183;0.226752;0.227568;0.227040;0.227574;0.227285;0.227500;0.226785;0.227287;0.228208;0.228036;0.227446;0.227017;0.227991;0.227186;0.227959;0.228526;0.227910;0.227616;0.227943;0.228512;0.227838;0.227793;0.228470;0.228493;0.228899;0.229038;0.228680;0.228456;0.228897;0.228117;0.227733;0.229246;0.228554
350.000000;0.222847;0.222739;0.222866;0.221732;0.223390;0.223032;0.224095;0.223525;0.223131;0.223932;0.224447;0.223747;0.224362;0.223655;0.223783;0.223921;0.224071;0.223788;0.225409;0.224706;0.224930;0.225131;0.224552;0.224928;0.225578;0.225175;0.224440;0.225600;0.224690;0.225561;0.224871;0.225129;0.225319;0.225557;0.224533;0.224761;0.226032;0.225902;0.225267;0.225810;0.225657;0.225322;0.226653;0.226451;0.226395;0.226083;0.226147;0.226809;0.226650;0.225921;0.226728;0.226300;0.226673;0.227052;0.226302;0.226100;0.226448;0.225977;0.226000;0.227784;0.226576
