wavelength,state,OD
256,denature,"0,0471538305"
257,denature,"0,0469974279"
258,denature,"0,0476628542"
259,denature,"0,048063457"
260,denature,"0,0491881371"
261,denature,"0,0505241752"
262,denature,"0,0519012809"
263,denature,"0,0528906584"
264,denature,"0,0534679294"
265,denature,"0,052831769"
266,denature,"0,0532935858"
267,denature,"0,0538652539"
268,denature,"0,0530116558"
269,denature,"0,0535334349"
270,denature,"0,0521141291"
271,denature,"0,0507085323"
272,denature,"0,0515253544"
273,denature,"0,0507727861"
274,denature,"0,047868371"
275,denature,"0,0464863181"
276,denature,"0,0459736586"
277,denature,"0,0455380678"
278,denature,"0,0450894237"
279,denature,"0,0421857238"
280,denature,"0,0401510596"
281,denature,"0,0412501693"
282,denature,"0,0397309661"
283,denature,"0,0361745358"
284,denature,"0,0356488228"
285,denature,"0,0325071812"
286,denature,"0,0312530994"
287,denature,"0,0288807154"
288,denature,"0,0293266177"
289,denature,"0,0252920985"
290,denature,"0,0237556696"
291,denature,"0,0239709616"
292,denature,"0,0197969675"
293,denature,"0,0197133422"
294,denature,"0,0180663466"
295,denature,"0,0165942907"
296,denature,"0,0161499381"
297,denature,"0,0128671527"
298,denature,"0,0140970945"
299,denature,"0,01218611"
300,denature,"0,0119705796"
301,denature,"0,0129477382"
302,denature,"0,0121064186"
303,denature,"0,0108606219"
304,denature,"0,0111402273"
305,denature,"0,0108045936"
306,denature,"0,0097363591"
307,denature,"0,0103099942"
308,denature,"0,0110755563"
309,denature,"0,009531498"
310,denature,"0,0097478628"
311,denature,"0,0101311207"
312,denature,"0,0104222894"
313,denature,"0,009509325"
314,denature,"0,0098867416"
315,denature,"0,0091199279"
316,denature,"0,009693265"
317,denature,"0,0101841092"
318,denature,"0,009203732"
319,denature,"0,009121418"
320,denature,"0,0094342232"
321,denature,"0,0100675225"
322,denature,"0,0097072721"
323,denature,"0,0090273619"
324,denature,"0,0106605291"
325,denature,"0,0103278756"
326,denature,"0,0104943514"
327,denature,"0,0108967423"
328,denature,"0,0099834204"
329,denature,"0,0108753443"
330,denature,"0,0102533102"
331,denature,"0,0107620358"
332,denature,"0,0111694336"
333,denature,"0,009775877"
334,denature,"0,0107495189"
335,denature,"0,0121593475"
336,denature,"0,0104520321"
337,denature,"0,0103433132"
338,denature,"0,0106548071"
339,denature,"0,0105045438"
340,denature,"0,0118311048"
341,denature,"0,0119540691"
342,denature,"0,011536181"
343,denature,"0,0130648017"
344,denature,"0,0107782483"
345,denature,"0,0104941726"
346,denature,"0,0119440556"
347,denature,"0,012609899"
348,denature,"0,010168314"
349,denature,"0,0115455985"
350,denature,"0,0129645467"
351,denature,"0,0119550824"
352,denature,"0,0107498765"
353,denature,"0,0131818652"
354,denature,"0,0120614767"
355,denature,"0,0127842426"
356,denature,"0,0130547285"
357,denature,"0,0110396147"
358,denature,"0,012444675"
359,denature,"0,0122207403"
360,denature,"0,0117406249"
361,denature,"0,01178056"
362,denature,"0,0128268003"
363,denature,"0,0119304061"
364,denature,"0,0137323737"
365,denature,"0,0136238933"
366,denature,"0,0128826499"
367,denature,"0,0130122304"
368,denature,"0,0120335221"
369,denature,"0,0131278634"
370,denature,"0,0135741234"
371,denature,"0,0121927261"
372,denature,"0,0112637877"
373,denature,"0,0128487945"
374,denature,"0,0135644078"
375,denature,"0,0121737123"
376,denature,"0,0134522915"
377,denature,"0,0128253698"
378,denature,"0,0114321113"
379,denature,"0,0124620795"
380,denature,"0,0106354356"
381,denature,"0,012221992"
382,denature,"0,0108510256"
383,denature,"0,011091888"
384,denature,"0,0121571422"
385,denature,"0,0102066994"
386,denature,"0,0115203261"
387,denature,"0,0100926161"
388,denature,"0,0101333261"
389,denature,"0,0090065598"
390,denature,"0,0106757283"
391,denature,"0,0092613697"
392,denature,"0,0097879767"
393,denature,"0,0097348094"
394,denature,"0,0094708204"
395,denature,"0,0098796487"
396,denature,"0,0090308785"
397,denature,"0,0098865032"
398,denature,"0,0080440044"
399,denature,"0,0090860128"
400,denature,"0,0086320043"
401,denature,"0,0088100433"
402,denature,"0,0074326396"
403,denature,"0,0071860552"
404,denature,"0,0073538423"
405,denature,"0,008209765"
406,denature,"0,0098510981"
407,denature,"0,0091318488"
408,denature,"0,0087693334"
409,denature,"0,0087265372"
410,denature,"0,009218514"
411,denature,"0,0083522797"
412,denature,"0,0084866881"
413,denature,"0,0085093379"
414,denature,"0,0090779662"
415,denature,"0,0090711713"
416,denature,"0,0091432333"
417,denature,"0,0099499822"
418,denature,"0,0084719062"
419,denature,"0,0102394223"
420,denature,"0,0078293681"
421,denature,"0,0094130635"
422,denature,"0,0083245039"
423,denature,"0,0101746917"
424,denature,"0,009380579"
425,denature,"0,0108647346"
426,denature,"0,0116286278"
427,denature,"0,0099061131"
428,denature,"0,0111326575"
429,denature,"0,010207057"
430,denature,"0,010530889"
431,denature,"0,0088197589"
432,denature,"0,0104351044"
433,denature,"0,009724021"
434,denature,"0,0105282664"
435,denature,"0,0094307065"
436,denature,"0,0106517673"
437,denature,"0,0095987916"
438,denature,"0,0090549588"
439,denature,"0,0094894767"
440,denature,"0,0103871226"
441,denature,"0,0094143152"
442,denature,"0,0102209449"
443,denature,"0,0117280483"
444,denature,"0,0114195943"
445,denature,"0,0109931231"
446,denature,"0,0091197491"
447,denature,"0,0104806423"
448,denature,"0,0093513131"
449,denature,"0,0112685561"
450,denature,"0,0097120404"
451,denature,"0,0086963773"
452,denature,"0,0095378757"
453,denature,"0,0088531971"
454,denature,"0,0091511607"
455,denature,"0,0083594918"
456,denature,"0,0090975761"
457,denature,"0,0092145801"
458,denature,"0,0095070004"
459,denature,"0,0082036853"
460,denature,"0,0075053573"
461,denature,"0,0081532598"
462,denature,"0,0083486438"
463,denature,"0,0089232326"
464,denature,"0,0084702969"
465,denature,"0,0073040128"
466,denature,"0,0087512732"
467,denature,"0,0084952116"
468,denature,"0,0087158084"
469,denature,"0,007886827"
470,denature,"0,008795321"
471,denature,"0,0055937171"
472,denature,"0,0041335225"
473,denature,"0,0059333444"
474,denature,"0,0063095689"
475,denature,"0,0044929385"
476,denature,"0,007689178"
477,denature,"0,007309258"
478,denature,"0,0052025318"
479,denature,"0,0052316785"
480,denature,"0,0070136786"
481,denature,"0,0041491389"
482,denature,"0,0061445832"
483,denature,"0,005474031"
484,denature,"0,0044403076"
485,denature,"0,0056249499"
486,denature,"0,0030654669"
487,denature,"0,0065531731"
488,denature,"0,0024605393"
489,denature,"0,0004959106"
490,denature,"0,0014033318"
491,denature,"0,004917562"
492,denature,"0,0005068183"
493,denature,"0,0031152368"
494,denature,"0,0010954142"
495,denature,"0,0025622845"
496,denature,"0,003274858"
497,denature,"0,0012741685"
498,denature,"0,0007109642"
499,denature,"0,0021455884"
500,denature,"0,0019803047"
501,denature,"-0,0001026392"
502,denature,"0,001899302"
503,denature,"1,91330909729004E-05"
504,denature,"0,0014746189"
505,denature,"0,0010609031"
506,denature,"0,0012917519"
507,denature,"0,0015130043"
508,denature,"0,0021790862"
509,denature,"-0,0017578006"
510,denature,"0,0022003055"
511,denature,"0,0006557107"
512,denature,"0,0022616386"
513,denature,"0,000010848"
514,denature,"0,0009937286"
515,denature,"0,0014573336"
516,denature,"0,0013694167"
517,denature,"-0,000582099"
518,denature,"0,000056982"
519,denature,"0,0013409853"
520,denature,"-0,0004225969"
521,denature,"-0,0009558797"
522,denature,"-0,0012149215"
523,denature,"0,0014946461"
524,denature,"0,0012707114"
525,denature,"0,0002548099"
526,denature,"0,0017763972"
527,denature,"6,24656677246094E-05"
528,denature,"0,0002273917"
529,denature,"-0,0005555153"
530,denature,"-0,0010461211"
531,denature,"0,0007813573"
532,denature,"0,0021214485"
533,denature,"0,0001181364"
534,denature,"8,9108943939209E-05"
535,denature,"0,0009669065"
536,denature,"-0,0015026927"
537,denature,"-0,0019775629"
538,denature,"-0,0003849268"
539,denature,"0,0002912283"
540,denature,"0,0010079741"
541,denature,"0,0013492107"
542,denature,"0,0020156503"
543,denature,"0,0002370477"
544,denature,"0,0023359656"
545,denature,"-0,0005690455"
546,denature,"0,0009999871"
547,denature,"0,00042063"
548,denature,"-0,0004511476"
549,denature,"9,54866409301758E-05"
550,denature,"0,0025881529"
551,denature,"-0,0006287694"
552,denature,"-0,0009589195"
553,denature,"-2,44379043579102E-06"
554,denature,"0,0004868507"
555,denature,"0,0005383492"
556,denature,"-0,0021327734"
557,denature,"-0,0008749962"
558,denature,"-0,002150178"
559,denature,"0,0003710389"
560,denature,"-0,000669539"
561,denature,"-0,0022861362"
562,denature,"-0,0005108714"
563,denature,"0,0004715919"
564,denature,"0,0007632971"
565,denature,"0,0001806021"
566,denature,"-7,83205032348633E-05"
567,denature,"0,0006119013"
568,denature,"-0,0033437014"
569,denature,"-0,0004238486"
570,denature,"0,0006233454"
571,denature,"-0,0008695126"
572,denature,"-0,0003151894"
573,denature,"-0,0008248091"
574,denature,"-0,0014916658"
575,denature,"-5,42998313903809E-05"
576,denature,"-0,0010948777"
577,denature,"0,0003390908"
578,denature,"-0,0009323359"
579,denature,"0,0002691746"
580,denature,"-0,0010524392"
581,denature,"-0,001339674"
582,denature,"-0,0015774369"
583,denature,"0,0008725524"
584,denature,"-0,0006361604"
585,denature,"-0,0006062984"
586,denature,"0,0010001659"
587,denature,"-0,0014212728"
588,denature,"-0,0005637407"
589,denature,"-0,0004775524"
590,denature,"-0,0019316673"
591,denature,"-0,0014650822"
592,denature,"-0,0012906194"
593,denature,"-0,0010569692"
594,denature,"-0,0008534789"
595,denature,"-0,000467658"
596,denature,"-0,000285387"
597,denature,"-0,0015678406"
598,denature,"-0,0010880232"
599,denature,"-0,0007413626"
600,denature,"0,0005722642"
