genotype,repetition,masse
WT,1,14.8
WT,2,15.5
WT,3,16.6
nqr,1,15.8
nqr,2,14.8
nqr,3,16.8
air12,1,14.9
air12,2,14.7
air12,3,15.8
nqrair12,1,15.5
nqrair12,2,14.6
nqrair12,3,15.1
