genotype,temps,germination
WT,0,0
WT,0,0
WT,0,0
WT,0,0
WT,0,0
WT,0,0
nqr,0,0
nqr,0,0
nqr,0,0
nqr,0,0
nqr,0,0
nqr,0,0
fqr1,0,0
fqr1,0,0
fqr1,0,0
fqr1,0,0
fqr1,0,0
fqr1,0,0
nqrfqr1,0,0
nqrfqr1,0,0
nqrfqr1,0,0
nqrfqr1,0,0
nqrfqr1,0,0
nqrfqr1,0,0
WT,22,1.8
WT,22,3.6
WT,22,7.1
WT,22,12.5
WT,22,5.8
WT,22,16.7
nqr,22,5.6
nqr,22,3.6
nqr,22,5.4
nqr,22,7
nqr,22,3.6
nqr,22,10.9
fqr1,22,0
fqr1,22,1.8
fqr1,22,10.9
fqr1,22,13
fqr1,22,10.7
fqr1,22,18.2
nqrfqr1,22,10.7
nqrfqr1,22,1.8
nqrfqr1,22,12.5
nqrfqr1,22,14.5
nqrfqr1,22,5.4
nqrfqr1,22,9.1
WT,24,3.6
WT,24,9.1
WT,24,21.4
WT,24,30.4
WT,24,23.1
WT,24,29.6
nqr,24,11.1
nqr,24,14.5
nqr,24,14
nqr,24,35.1
nqr,24,18.2
nqr,24,30.9
fqr1,24,5.4
fqr1,24,7.4
fqr1,24,30.9
fqr1,24,40.7
fqr1,24,16.1
fqr1,24,38.2
nqrfqr1,24,14.3
nqrfqr1,24,10.7
nqrfqr1,24,28.6
nqrfqr1,24,32.7
nqrfqr1,24,16.4
nqrfqr1,24,20
WT,27,12.7
WT,27,38.2
WT,27,50
WT,27,58.9
WT,27,57.7
WT,27,66.7
nqr,27,25.9
nqr,27,40
nqr,27,66.1
nqr,27,82.5
nqr,27,50.9
nqr,27,69.1
fqr1,27,33.9
fqr1,27,38.9
fqr1,27,54.5
fqr1,27,72.2
fqr1,27,51.8
fqr1,27,72.7
nqrfqr1,27,42.9
nqrfqr1,27,33.9
nqrfqr1,27,58.9
nqrfqr1,27,49.1
nqrfqr1,27,47.3
nqrfqr1,27,50.9
WT,29,23.6
WT,29,52.7
WT,29,64.3
WT,29,64.3
WT,29,69.2
WT,29,90.7
nqr,29,38.9
nqr,29,47.3
nqr,29,82.1
nqr,29,94.7
nqr,29,81.8
nqr,29,89.1
fqr1,29,39.9
fqr1,29,44.4
fqr1,29,74.5
fqr1,29,77.8
fqr1,29,85.7
fqr1,29,89.1
nqrfqr1,29,51.8
nqrfqr1,29,42.9
nqrfqr1,29,71.4
nqrfqr1,29,67.3
nqrfqr1,29,67.3
nqrfqr1,29,72.7
WT,31,50.9
WT,31,65.5
WT,31,71.4
WT,31,80.4
WT,31,88.5
WT,31,96.3
nqr,31,53.7
nqr,31,61.8
nqr,31,85.7
nqr,31,96.5
nqr,31,89.1
nqr,31,96.4
fqr1,31,58.9
fqr1,31,61.1
fqr1,31,92.7
fqr1,31,83.3
fqr1,31,94.6
fqr1,31,90.9
nqrfqr1,31,66.1
nqrfqr1,31,62.5
nqrfqr1,31,83.9
nqrfqr1,31,72.7
nqrfqr1,31,80
nqrfqr1,31,81.8
WT,46,92.7
WT,46,98.2
WT,46,92.9
WT,46,92.9
WT,46,96.1
WT,46,98.1
nqr,46,96.3
nqr,46,96.4
nqr,46,92.9
nqr,46,98.2
nqr,46,100
nqr,46,100
fqr1,46,98.2
fqr1,46,98.1
fqr1,46,100
fqr1,46,96.3
fqr1,46,98.2
fqr1,46,92.7
nqrfqr1,46,100
nqrfqr1,46,98.2
nqrfqr1,46,94.6
nqrfqr1,46,89.1
nqrfqr1,46,96.4
nqrfqr1,46,92.7
WT,48,94.5
WT,48,100
WT,48,92.9
WT,48,92.9
WT,48,96.1
WT,48,98.1
nqr,48,96.3
nqr,48,96.4
nqr,48,92.9
nqr,48,98.2
nqr,48,100
nqr,48,100
fqr1,48,98.2
fqr1,48,98.1
fqr1,48,100
fqr1,48,96.3
fqr1,48,98.2
fqr1,48,92.7
nqrfqr1,48,100
nqrfqr1,48,98.2
nqrfqr1,48,94.6
nqrfqr1,48,89.1
nqrfqr1,48,98.2
nqrfqr1,48,92.7
