genotype,repetition,masse
WT,3,0.1056
WT,3,0.0573
WT,3,0.1114
WT,3,0.0727
WT,3,0.0893
nqr,3,0.1001
nqr,3,0.1032
nqr,3,0.0661
nqr,3,0.0946
nqr,3,0.0632
nqr,3,0.087
nqr,3,0.085
nqr,3,0.0863
nqr,3,0.0995
nqr,3,0.0965
nqr,3,0.1041
nqr,3,0.0759
nqr,3,0.0928
nqr,3,0.0973
nqr,3,0.0921
nqr,3,0.128
fqr1,3,0.1173
fqr1,3,0.0845
fqr1,3,0.0848
fqr1,3,0.0923
fqr1,3,0.1091
fqr1,3,0.1096
fqr1,3,0.1
fqr1,3,0.0864
fqr1,3,0.1055
fqr1,3,0.1174
fqr1,3,0.1209
fqr1,3,0.1322
fqr1,3,0.119
fqr1,3,0.1223
fqr1,3,0.1129
fqr1,3,0.1036
fqr2,3,0.0909
fqr2,3,0.1093
fqr2,3,0.0855
fqr2,3,0.1004
fqr2,3,0.1043
fqr2,3,0.0876
fqr2,3,0.0848
fqr2,3,0.0963
fqr2,3,0.092
fqr2,3,0.121
fqr2,3,0.1086
fqr2,3,0.0902
fqr2,3,0.1045
fqr2,3,0.1027
fqr2,3,0.0508
fqr2,3,0.0841
fqr1fqr2,3,0.0838
fqr1fqr2,3,0.0407
fqr1fqr2,3,0.0542
fqr1fqr2,3,0.0788
fqr1fqr2,3,0.0691
fqr1fqr2,3,0.0786
fqr1fqr2,3,0.0786
fqr1fqr2,3,0.0938
fqr1fqr2,3,0.0895
fqr1fqr2,3,0.0822
fqr1fqr2,3,0.0887
fqr1fqr2,3,0.093
fqr1fqr2,3,0.043
fqr1fqr2,3,0.0602
fqr1fqr2,3,0.085
fqr1fqr2,3,0.084
nqrfqr1,3,0.1014
nqrfqr1,3,0.038
nqrfqr1,3,0.1118
nqrfqr1,3,0.0675
nqrfqr1,3,0.084
nqrfqr1,3,0.1179
nqrfqr1,3,0.1288
nqrfqr1,3,0.1016
nqrfqr1,3,0.105
nqrfqr1,3,0.0905
nqrfqr1,3,0.0779
nqrfqr1,3,0.0957
nqrfqr1,3,0.1038
nqrfqr1,3,0.0734
nqrfqr1,3,0.0956
nqrfqr1fqr2,3,0.0739
nqrfqr1fqr2,3,0.0678
nqrfqr1fqr2,3,0.047
nqrfqr1fqr2,3,0.0691
nqrfqr1fqr2,3,0.0575
nqrfqr1fqr2,3,0.0899
nqrfqr1fqr2,3,0.0795
nqrfqr1fqr2,3,0.0509
nqrfqr1fqr2,3,0.0742
nqrfqr1fqr2,3,0.075
nqrfqr1fqr2,3,0.0453
nqrfqr1fqr2,3,0.0835
nqrfqr1fqr2,3,0.0649
nqrfqr1fqr2,3,0.0737
nqrfqr1fqr2,3,0.0441
