genotype,repetition,masse
WT,1,18.28
WT,2,18.4
WT,3,19.24
nqr,1,20.11
nqr,2,20.1
nqr,3,20.5
fqr1,1,17.76
fqr1,2,18.2
fqr1,3,18.48
nqrfqr1,1,18.07
nqrfqr1,2,17.7
nqrfqr1,3,19.8
